Model,Dataset,Subset_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_AUC,AUC_antimicrobial,AUC_antiviral,AUC_antifungal,AUC_anticancer
ProtBERT,dbAMP,0.7683352735739232,0.6125331342169125,0.3944936074220154,0.43966203636550183,0.6855997366750775,0.89602085893646,0.8792210454999287,0.7414477534959463,0.2257092887679751
ProtBERT,DRAMP,0.7106299212598425,0.8385416666666666,0.5281430934656741,0.6025556569034829,0.7817917369424531,,0.7594104308390024,0.7537969478205246,0.8321678321678322
