model,dataset,subset_accuracy,hamming_loss,macro_f1,micro_f1,macro_auc,antimicrobial_tp,antimicrobial_tn,antimicrobial_fp,antimicrobial_fn,antimicrobial_fn_rate,antimicrobial_fp_rate,antimicrobial_f1,antimicrobial_auc,antiviral_tp,antiviral_tn,antiviral_fp,antiviral_fn,antiviral_fn_rate,antiviral_fp_rate,antiviral_f1,antiviral_auc,antifungal_tp,antifungal_tn,antifungal_fp,antifungal_fn,antifungal_fn_rate,antifungal_fp_rate,antifungal_f1,antifungal_auc,anticancer_tp,anticancer_tn,anticancer_fp,anticancer_fn,anticancer_fn_rate,anticancer_fp_rate,anticancer_f1,anticancer_auc
ESM-2,dbAMP,0.7710516103996896,0.07062475746992627,0.5315252759084294,0.8799868117375534,0.7408595200933143,2325,133,98,21,0.009,0.4242,0.975,0.9055,134,2320,17,106,0.4417,0.0073,0.6854,0.8902,210,1885,194,288,0.5783,0.0933,0.4656,0.7784,0,2573,0,4,1.0,0.0,0.0,0.3893
ESM-2,DRAMP,0.7106299212598425,0.07283464566929133,0.4611344537815125,0.8880484114977306,,508,0,0,0,0.0,0.0,1.0,,3,490,0,15,0.8333,0.0,0.2857,0.8007,76,312,41,79,0.5097,0.1161,0.5588,0.778,0,495,0,13,1.0,0.0,0.0,0.8488
ProtBERT,dbAMP,0.7683352735739232,0.0746022506790842,0.43966203636550183,0.8660512105904894,0.6855997366750775,2318,114,117,28,0.0119,0.5065,0.9697,0.896,117,2311,26,123,0.5125,0.0111,0.611,0.8792,51,2055,24,447,0.8976,0.0115,0.178,0.7414,0,2573,0,4,1.0,0.0,0.0,0.2257
ProtBERT,DRAMP,0.7106299212598425,0.0733267716535433,0.6025556569034829,0.8900369003690037,,508,0,0,0,0.0,0.0,1.0,,3,489,1,15,0.8333,0.002,0.2727,0.7594,87,296,57,68,0.4387,0.1615,0.5819,0.7538,5,495,0,8,0.6154,0.0,0.5556,0.8322
ProtT5,dbAMP,0.7229336437718277,0.09439270469538223,0.23826934795856186,0.8282436010591351,0.599535097977606,2346,0,231,0,0.0,1.0,0.9531,0.5996,0,2337,0,240,1.0,0.0,0.0,0.6142,0,2079,0,498,1.0,0.0,0.0,0.5853,0,2573,0,4,1.0,0.0,0.0,0.599
ProtT5,DRAMP,0.6751968503937008,0.08464566929133858,0.6390766823161189,0.8798882681564246,,508,0,0,0,0.0,0.0,1.0,,4,476,14,14,0.7778,0.0286,0.2222,0.676,109,262,91,46,0.2968,0.2578,0.6141,0.7804,9,492,3,4,0.3077,0.0061,0.72,0.9023
